order_id,product_type,cut_machine,cut_start,cut_end,sew_machine,sew_start,sew_end,pack_start,pack_end,completion_time,deadline,lateness
O040,A,Cut_1,0,5,Sew_1,5,16,16,19,19,82,0
O037,A,Cut_2,0,19,Sew_1,67,103,103,108,108,107,1
O011,A,Cut_1,5,12,Sew_2,60,83,83,87,87,112,0
O006,A,Cut_1,12,36,Sew_2,84,98,98,103,103,114,0
O016,A,Cut_2,19,26,Sew_3,74,108,108,111,111,139,0
O032,A,Cut_2,26,37,Sew_1,37,67,67,72,72,160,0
O023,A,Cut_1,36,54,Sew_2,98,121,121,124,124,192,0
O002,A,Cut_2,37,60,Sew_1,108,149,149,151,151,194,0
O014,A,Cut_1,54,76,Sew_3,108,126,126,129,129,263,0
O026,A,Cut_2,60,77,Sew_2,121,150,151,154,154,275,0
O044,A,Cut_1,76,95,Sew_3,126,137,137,143,143,300,0
O008,A,Cut_2,77,90,Sew_3,138,171,171,173,173,311,0
O031,A,Cut_2,90,103,Sew_1,151,162,162,167,167,314,0
O042,A,Cut_1,95,115,Sew_2,150,183,183,186,186,328,0
O012,A,Cut_2,103,117,Sew_1,162,207,207,212,212,334,0
O020,A,Cut_1,115,131,Sew_3,171,182,186,190,190,342,0
O005,A,Cut_2,117,134,Sew_3,182,197,197,203,203,352,0
O041,A,Cut_1,131,150,Sew_2,183,217,217,223,223,416,0
O043,A,Cut_2,134,142,Sew_3,197,231,231,234,234,444,0
O047,B,Cut_2,152,171,Sew_1,219,238,238,243,243,89,154
O046,B,Cut_1,160,179,Sew_2,217,262,262,267,267,112,155
O027,B,Cut_2,171,187,Sew_3,235,275,275,279,279,125,154
O003,B,Cut_1,179,200,Sew_1,238,278,279,282,282,139,143
O033,B,Cut_2,187,211,Sew_2,262,291,291,293,293,180,113
O024,B,Cut_1,200,217,Sew_3,275,286,286,291,291,190,101
O039,B,Cut_2,211,218,Sew_1,278,301,301,305,305,200,105
O010,B,Cut_1,217,239,Sew_3,287,308,308,313,313,202,111
O035,B,Cut_2,218,235,Sew_2,291,310,313,319,319,210,109
O013,B,Cut_2,235,249,Sew_1,301,316,319,321,321,234,87
O009,B,Cut_1,239,244,Sew_3,308,344,344,350,350,306,44
O021,B,Cut_1,244,260,Sew_2,310,351,351,356,356,399,0
O007,C,Cut_2,259,274,Sew_1,316,341,341,344,344,50,294
O017,C,Cut_1,270,283,Sew_1,341,360,360,365,365,79,286
O034,C,Cut_2,274,289,Sew_3,344,377,377,381,381,80,301
O019,C,Cut_1,283,306,Sew_2,354,395,395,397,397,87,310
O015,C,Cut_2,289,300,Sew_1,360,385,385,390,390,93,297
O030,C,Cut_2,300,318,Sew_3,377,422,422,427,427,192,235
O004,C,Cut_1,306,316,Sew_1,385,399,399,405,405,207,198
O025,C,Cut_1,316,332,Sew_2,395,421,427,430,430,219,211
O045,C,Cut_2,318,337,Sew_1,399,417,417,422,422,231,191
O038,C,Cut_1,332,342,Sew_1,417,431,431,435,435,244,191
O029,C,Cut_2,337,343,Sew_2,421,436,436,442,442,246,196
O036,C,Cut_1,342,347,Sew_3,422,448,448,452,452,254,198
O018,C,Cut_2,343,351,Sew_1,431,445,445,447,447,273,174
O048,C,Cut_1,347,360,Sew_2,436,476,476,481,481,332,149
O028,C,Cut_2,351,359,Sew_1,445,470,470,473,473,337,136
O001,C,Cut_2,359,381,Sew_3,448,486,486,488,488,357,131
O050,C,Cut_1,360,367,Sew_1,470,488,488,490,490,393,97
O049,C,Cut_1,367,374,Sew_2,476,502,502,505,505,399,106
O022,C,Cut_1,374,384,Sew_3,486,505,505,510,510,449,61
